title,value
Deutsche Bank,2974163
BNP Paribas,2494412
Barclays Bank,2459148
HSBC Holdings,2354266
Crédit Agricole Group,2268310
Citigroup,2187631
UBS,2019173
Mitsubishi UFJ Financial Group,1817571
Bank of America Corp,1715746
Société Générale,1577745
JP Morgan Chase & Co,1562147
UniCredit,1504134
Mizuho Financial  Group,1494960
ING Bank ,1463437
Banca Româneasca ,1390853
Santander Central Hispano,1343905
HBOS,1336299
Credit Suisse Group,1208956
ICBC,1188800
Fortis Bank,1129417
Sumitomo Mitsui Financial Group,1072562
Commerzbank,907514
China Construction Bank Corporation,903291
Dexia,889981
Intesa San Paolo,843371
Rabobank Group,839840
Agricultural Bank of China,828263
Bank of China,820198
Nordea Bank Norge,816115
Crédit Mutuel,814518
Wachovia Corporation,782896
BBV Argentaria,739296
Dresdner Bank,736359
Lloyds ,707966
Danske Bank,660006
Landesbank Baden-Württemberg,652766
Groupe Caisse d'Epargne,638179
DZ BANK Deutsche Zentral-Genossenschaftsbank,634973
Bayerische Landesbank,611864
Hypo Real Estate Holding,589098
National Australia Bank,584861
Wells Fargo & Co,575442
Nordea Group,572728
Norinchukin Bank,527504
KBC Group,523476
Groupe Banques Populaires,513639
Commonwealth Bank Group,443905
WestLB,421834
ANZ Banking Group,419434
